Episode,Reward,Duration,Epsilon,Circles
0,4.5,10,0.99,0
1,9.0,19,0.98,0
2,4.5,10,0.98,0
3,13.0,27,0.97,0
4,2.5,6,0.96,0
5,2.5,6,0.96,0
6,2.5,6,0.96,0
7,2.5,6,0.95,0
8,2.5,6,0.95,0
9,4.5,10,0.94,0
10,2.5,6,0.94,0
11,2.5,6,0.94,0
12,8.5,18,0.93,0
13,15.0,31,0.91,0
14,2.5,6,0.91,0
15,2.5,6,0.91,0
16,4.5,10,0.90,0
17,2.5,6,0.90,0
18,4.5,10,0.89,0
19,2.5,6,0.89,0
20,9.0,19,0.88,0
21,6.5,14,0.87,0
22,4.5,10,0.87,0
23,4.5,10,0.86,0
24,2.5,6,0.86,0
25,2.5,6,0.86,0
26,2.5,6,0.85,0
27,2.5,6,0.85,0
28,12.0,25,0.84,0
29,4.5,10,0.84,0
30,13.5,28,0.82,0
31,2.5,6,0.82,0
32,2.5,6,0.82,0
33,2.5,6,0.82,0
34,4.5,10,0.81,0
35,6.5,14,0.80,0
36,4.5,10,0.80,0
37,29.5,40,0.79,0
38,9.0,19,0.78,0
39,4.5,10,0.77,0
40,2.5,6,0.77,0
41,8.0,17,0.76,0
42,2.5,6,0.76,0
43,6.5,14,0.76,0
44,2.5,6,0.75,0
45,8.0,17,0.75,0
46,8.0,17,0.74,0
47,2.5,6,0.74,0
48,9.0,19,0.73,0
49,2.5,6,0.73,0
50,4.5,10,0.72,0
51,2.5,6,0.72,0
52,6.5,14,0.71,0
53,25.5,32,0.70,0
54,2.5,6,0.70,0
55,13.0,27,0.69,0
56,8.0,17,0.69,0
57,12.5,26,0.68,0
58,4.5,10,0.67,0
59,4.5,10,0.67,0
60,4.5,10,0.67,0
61,2.5,6,0.66,0
62,12.5,26,0.65,0
63,12.5,26,0.65,0
64,8.0,17,0.64,0
65,2.5,6,0.64,0
66,2.5,6,0.64,0
67,12.5,26,0.63,0
68,8.0,17,0.62,0
69,10.0,21,0.61,0
70,2.5,6,0.61,0
71,32.0,45,0.60,0
72,12.5,26,0.59,0
73,6.5,14,0.59,0
74,2.5,6,0.59,0
75,2.5,6,0.58,0
76,2.5,6,0.58,0
77,8.0,17,0.58,0
78,25.5,32,0.57,0
79,8.5,18,0.56,0
80,2.5,6,0.56,0
81,9.0,19,0.55,0
82,12.5,26,0.55,0
83,33.5,48,0.54,0
84,12.0,25,0.53,0
85,13.0,27,0.52,0
86,4.5,10,0.52,0
87,2.5,6,0.52,0
88,2.5,6,0.52,0
89,10.5,22,0.51,0
90,12.5,26,0.50,0
91,12.5,26,0.50,0
92,12.5,26,0.49,0
93,12.5,26,0.49,0
94,27.5,36,0.48,0
95,13.0,27,0.47,0
96,12.5,26,0.47,0
97,17.5,36,0.46,0
98,29.0,39,0.45,0
99,2.5,6,0.45,0
100,12.5,26,0.44,0
101,8.0,17,0.44,0
102,37.5,56,0.43,0
103,14.5,30,0.42,0
104,2.5,6,0.42,0
105,31.5,44,0.41,0
106,8.0,17,0.41,0
107,59.5,80,0.40,0
108,33.5,48,0.39,0
109,13.5,28,0.38,0
110,25.0,31,0.38,0
111,56.5,74,0.36,0
112,48.0,77,0.35,0
113,2.5,6,0.35,0
114,12.5,26,0.35,0
115,32.5,46,0.34,0
116,12.5,26,0.34,0
117,12.5,26,0.33,0
118,2.5,6,0.33,0
119,32.5,46,0.32,0
120,4.5,10,0.32,0
121,14.0,29,0.32,0
122,41.0,63,0.31,0
123,4.5,10,0.31,0
124,30.0,41,0.30,0
125,38.0,57,0.30,0
126,12.0,25,0.29,0
127,29.0,39,0.29,0
128,41.5,64,0.28,0
129,12.5,26,0.28,0
130,12.0,25,0.27,0
131,34.0,49,0.27,0
132,12.0,25,0.26,0
133,26.5,34,0.26,0
134,42.5,66,0.25,0
135,14.5,30,0.25,0
136,38.5,58,0.24,0
137,12.0,25,0.24,0
138,60.5,82,0.23,0
139,41.5,64,0.23,0
140,32.0,45,0.22,0
141,6.5,14,0.22,0
142,71.5,104,0.21,0
143,60.5,82,0.21,0
