Episode,Reward,Duration,Epsilon,Circles
0,4.5,10,1.00,0
1,1.0,3,1.00,0
2,1.5,4,1.00,0
3,1.5,4,1.00,0
4,1.5,4,1.00,0
5,13.0,27,0.99,0
6,6.5,14,0.99,0
7,1.5,4,0.99,0
8,1.0,3,0.99,0
9,4.5,10,0.99,0
10,6.5,14,0.99,0
11,1.5,4,0.99,0
12,1.0,3,0.99,0
13,1.0,3,0.99,0
14,1.5,4,0.99,0
15,1.0,3,0.98,0
16,1.0,3,0.98,0
17,1.0,3,0.98,0
18,9.0,19,0.98,0
19,1.5,4,0.98,0
20,3.5,8,0.98,0
21,3.5,8,0.98,0
22,1.0,3,0.98,0
23,3.5,8,0.98,0
24,4.5,10,0.98,0
25,1.0,3,0.98,0
26,1.0,3,0.98,0
27,1.0,3,0.98,0
28,1.5,4,0.97,0
29,1.5,4,0.97,0
30,4.5,10,0.97,0
31,3.5,8,0.97,0
32,1.5,4,0.97,0
33,3.5,8,0.97,0
34,1.5,4,0.97,0
35,1.5,4,0.97,0
36,1.0,3,0.97,0
37,3.5,8,0.97,0
38,1.5,4,0.97,0
39,1.5,4,0.97,0
40,11.5,24,0.96,0
41,3.5,8,0.96,0
42,1.5,4,0.96,0
43,1.0,3,0.96,0
44,1.5,4,0.96,0
45,1.0,3,0.96,0
46,1.0,3,0.96,0
47,15.5,32,0.96,0
48,1.0,3,0.96,0
49,1.0,3,0.96,0
50,3.5,8,0.96,0
51,1.0,3,0.96,0
52,1.0,3,0.96,0
53,1.0,3,0.95,0
54,9.0,19,0.95,0
55,1.5,4,0.95,0
56,1.5,4,0.95,0
57,1.5,4,0.95,0
58,1.5,4,0.95,0
59,1.5,4,0.95,0
60,1.5,4,0.95,0
61,1.5,4,0.95,0
62,4.5,10,0.95,0
63,5.0,11,0.95,0
64,1.5,4,0.95,0
65,5.0,11,0.94,0
66,5.0,11,0.94,0
67,9.0,19,0.94,0
68,10.5,22,0.94,0
69,5.0,11,0.94,0
70,3.5,8,0.94,0
71,7.0,15,0.93,0
72,3.5,8,0.93,0
73,1.0,3,0.93,0
74,1.5,4,0.93,0
75,1.0,3,0.93,0
76,3.5,8,0.93,0
77,1.5,4,0.93,0
78,1.0,3,0.93,0
79,1.0,3,0.93,0
80,8.5,18,0.93,0
81,1.5,4,0.93,0
82,1.0,3,0.93,0
83,1.0,3,0.93,0
84,1.5,4,0.93,0
85,8.5,18,0.92,0
86,1.5,4,0.92,0
87,1.0,3,0.92,0
88,3.5,8,0.92,0
89,1.0,3,0.92,0
90,1.5,4,0.92,0
91,3.5,8,0.92,0
92,1.0,3,0.92,0
93,1.0,3,0.92,0
94,1.0,3,0.92,0
95,1.0,3,0.92,0
96,1.0,3,0.92,0
97,1.5,4,0.92,0
98,1.0,3,0.92,0
99,4.5,10,0.92,0
100,1.5,4,0.92,0
101,3.5,8,0.91,0
102,1.5,4,0.91,0
103,1.5,4,0.91,0
104,1.5,4,0.91,0
105,1.5,4,0.91,0
106,1.0,3,0.91,0
107,1.5,4,0.91,0
108,3.5,8,0.91,0
109,4.5,10,0.91,0
110,3.5,8,0.91,0
111,7.0,15,0.91,0
112,13.0,27,0.90,0
113,1.0,3,0.90,0
114,1.0,3,0.90,0
115,1.5,4,0.90,0
116,1.5,4,0.90,0
117,1.5,4,0.90,0
118,1.5,4,0.90,0
119,3.5,8,0.90,0
120,1.0,3,0.90,0
121,1.5,4,0.90,0
