Gen,BestDist,AvgDist,Circles
0,48.0,13.066666666666666,0
1,48.0,19.933333333333334,0
2,48.0,29.0,0
3,48.0,28.133333333333333,0
4,118.0,32.666666666666664,0
5,20000.0,701.4666666666667,37
6,20000.0,703.9333333333333,37
7,20000.0,1370.2666666666667,37
8,20000.0,2036.9333333333334,37
9,20000.0,2039.4,37
10,20000.0,3367.8,37
11,20000.0,4036.0,37
12,20000.0,5366.333333333333,37
13,20000.0,7377.6,37
14,20000.0,8035.6,37
15,20000.0,12019.066666666668,37
16,20000.0,12726.266666666666,37
17,20000.0,9358.2,37
18,20000.0,8691.4,37
19,20000.0,8682.333333333334,37
20,20000.0,12014.333333333334,37
21,20000.0,10017.133333333333,37
22,20000.0,10682.666666666666,37
23,20000.0,10682.8,37
24,20000.0,10017.0,37
25,20000.0,9349.533333333333,37
26,20000.0,8680.866666666667,37
27,20000.0,10012.8,37
28,20000.0,10676.333333333334,37
29,20000.0,9351.066666666668,37
30,20000.0,11345.4,37
31,20000.0,10683.4,37
