Gen,BestDist,AvgDist,Circles
0,48.0,41.2,0
1,48.0,29.6,0
2,48.0,26.8,0
3,48.0,34.8,0
4,48.0,29.2,0
5,48.0,27.2,0
6,48.0,41.6,0
7,48.0,34.0,0
8,48.0,28.0,0
9,48.0,28.0,0
10,48.0,30.8,0
11,48.0,33.2,0
12,48.0,38.4,0
13,50.0,44.8,0
14,50.0,26.4,0
15,50.0,25.2,0
16,50.0,26.4,0
17,50.0,27.6,0
18,50.0,26.8,0
19,50.0,35.2,0
20,50.0,31.2,0
21,50.0,30.0,0
22,50.0,25.2,0
23,50.0,23.2,0
24,50.0,25.2,0
25,50.0,24.4,0
26,50.0,28.8,0
27,50.0,25.2,0
28,50.0,24.4,0
29,50.0,28.4,0
30,58.0,32.4,0
31,58.0,32.8,0
32,58.0,32.8,0
33,58.0,38.4,0
34,58.0,26.4,0
35,58.0,28.8,0
36,58.0,34.4,0
37,58.0,33.6,0
38,58.0,24.8,0
39,90.0,47.2,0
40,90.0,32.8,0
41,90.0,32.8,0
42,90.0,32.4,0
43,90.0,33.6,0
44,90.0,40.0,0
45,90.0,33.2,0
46,90.0,31.6,0
47,20000.0,8025.2,64
48,20000.0,8020.8,64
